fold,item,train_degree,embedding_norm
0,1,4,3.689244508743286
0,2,9,3.8983702659606934
0,5,5,3.590447187423706
0,6,3,3.947065830230713
0,8,2,3.6184613704681396
0,11,3,4.406116485595703
0,12,4,3.5518782138824463
0,13,4,3.726325273513794
0,14,3,3.9158105850219727
0,20,2,2.595459222793579
0,22,4,3.1207852363586426
0,25,4,3.4025423526763916
0,30,4,3.540800094604492
0,31,3,3.835909605026245
0,32,4,3.3139848709106445
0,33,2,3.5217297077178955
0,38,3,4.511404514312744
0,39,7,4.015723705291748
0,40,5,3.8481411933898926
0,44,4,3.6913866996765137
0,46,4,3.5614655017852783
0,49,5,3.786865711212158
0,55,4,3.866962432861328
0,58,3,3.5691394805908203
0,59,3,4.250625133514404
0,60,5,4.221841335296631
0,62,4,3.725109100341797
0,63,4,3.8185601234436035
0,64,7,3.653784990310669
0,65,3,3.8640708923339844
0,69,6,3.6633431911468506
0,72,5,4.06716775894165
0,78,5,3.0812437534332275
0,80,2,3.019670009613037
0,81,4,4.007266998291016
0,82,4,3.6986610889434814
0,89,4,3.2607104778289795
0,90,6,3.204389810562134
0,91,5,3.606966257095337
0,93,2,2.8743958473205566
0,94,7,3.704169750213623
0,95,4,3.249307155609131
0,96,5,4.405454635620117
0,97,5,4.003841400146484
0,98,4,3.685554027557373
0,99,3,4.162257194519043
0,101,5,3.6160354614257812
0,103,4,3.5412423610687256
0,104,3,3.4505043029785156
0,105,4,3.7130942344665527
0,106,3,3.2581472396850586
0,108,4,4.43088436126709
0,112,4,3.6975936889648438
0,113,8,3.5052783489227295
0,118,5,3.472968816757202
0,121,4,4.2028303146362305
0,122,4,3.715839147567749
0,123,5,3.3916280269622803
0,127,3,4.068929195404053
0,128,4,3.8141467571258545
0,129,4,4.04343843460083
0,132,4,3.8236708641052246
0,134,5,2.523439645767212
0,135,3,2.80000376701355
0,136,7,4.201829433441162
0,137,4,3.7485849857330322
0,140,4,2.7625179290771484
0,142,5,2.8103139400482178
0,143,7,2.523249864578247
0,148,5,2.974177122116089
0,149,5,2.541172981262207
0,155,4,3.7424004077911377
0,157,5,2.616044521331787
0,158,1,2.704618215560913
0,164,5,2.7740583419799805
0,166,7,2.5273635387420654
0,168,5,3.2107062339782715
0,169,3,2.6554200649261475
0,173,4,3.7195403575897217
0,174,2,3.8777732849121094
0,176,5,3.6138267517089844
0,177,3,3.393305778503418
0,183,6,3.894181489944458
0,184,5,3.1329050064086914
0,185,3,3.888023853302002
0,186,7,3.8281569480895996
0,189,4,4.276797294616699
0,191,6,3.7140495777130127
0,192,3,4.278916835784912
0,193,4,4.1177520751953125
0,194,3,4.162148475646973
0,195,6,3.812401294708252
0,196,5,3.6563773155212402
0,198,6,3.564206600189209
0,201,3,3.6382877826690674
0,203,4,3.5308725833892822
0,205,5,3.841231107711792
0,206,4,3.5801193714141846
0,208,4,3.918201446533203
0,210,5,3.5153045654296875
0,215,5,3.842880964279175
0,216,5,3.766356945037842
0,220,5,4.1471076011657715
0,221,5,3.1829488277435303
0,222,4,3.0659618377685547
0,224,5,2.5790483951568604
0,227,5,2.6111528873443604
0,229,7,3.504279375076294
0,230,3,3.742973804473877
0,231,3,2.560138702392578
0,235,5,3.5018129348754883
0,239,4,2.4529266357421875
0,243,5,2.5552940368652344
0,248,8,3.428318977355957
0,249,4,2.8279144763946533
0,250,5,3.4430785179138184
